time,p
0.2939998,8.673251
0.2949997,8.673747
0.2959997,8.674255
0.2969997,8.674775
0.2979997,8.675312
0.2989997,8.675867
0.2999997,8.676431
0.3009997,8.677003
0.3019997,8.677587
0.3029996,8.678177
0.3039996,8.678772
0.3049996,8.679375
0.3059996,8.679881
0.3069996,8.680386
0.3079996,8.680907
0.3089996,8.68144
0.3099996,8.681983
0.3109995,8.682537
0.3119995,8.683105
0.3129995,8.683688
0.3139995,8.68428
0.3149995,8.684882
0.3159995,8.685487
0.3169995,8.686097
0.3179995,8.686707
0.3189994,8.687327
0.3199994,8.687942
0.3209994,8.688498
0.3219994,8.689063
0.3229994,8.689636
0.3239994,8.690217
0.3249994,8.690804
0.3259993,8.691403
0.3269993,8.692014
0.3279993,8.692635
0.3289993,8.693258
0.3299993,8.693884
0.3309993,8.694515
0.3319993,8.695142
0.3329993,8.695777
0.3339992,8.696421
0.3349992,8.696967
0.3359992,8.697505
0.3369992,8.698055
0.3379992,8.698614
0.3389992,8.69918
0.3399992,8.69976
0.3409992,8.700353
0.3419991,8.700957
0.3429991,8.701566
0.3439991,8.702181
0.3449991,8.7028
0.3459991,8.703418
0.3469991,8.704046
0.3479991,8.704684
0.3489991,8.705225
0.349999,8.705759
0.350999,8.70631
0.351999,8.706863
0.352999,8.707426
0.353999,8.708005
0.354999,8.708597
0.355999,8.709203
0.356999,8.709817
0.3579989,8.710433
0.3589989,8.711051
0.3599989,8.711669
0.3609989,8.712297
0.3619989,8.712935
0.3629989,8.713567
0.3639989,8.71414
0.3649988,8.71472
0.3659988,8.715302
0.3669988,8.71589
0.3679988,8.716492
0.3689988,8.717106
0.3699988,8.717731
0.3709988,8.718361
0.3719988,8.718992
0.3729987,8.719619
0.3739987,8.72025
0.3749987,8.72089
0.3759987,8.721539
0.3769987,8.722175
0.3779987,8.722717
0.3789987,8.72327
0.3799987,8.723827
0.3809986,8.724392
0.3819986,8.724973
0.3829986,8.725567
0.3839986,8.726175
0.3849986,8.726788
0.3859986,8.727406
0.3869986,8.728021
0.3879986,8.728641
0.3889985,8.729273
0.3899985,8.729914
0.3909985,8.730565
0.3919985,8.73112
0.3929985,8.731667
0.3939985,8.732214
0.3949985,8.732776
0.3959984,8.733353
0.3969984,8.733945
0.3979984,8.73455
0.3989984,8.735166
0.3999984,8.735782
0.4009984,8.736397
0.4019984,8.737016
0.4029984,8.737646
0.4039983,8.738285
0.4049983,8.738935
0.4059983,8.739525
0.4069983,8.740108
0.4079983,8.740688
0.4089983,8.741279
0.4099983,8.741884
0.4109983,8.742501
0.4119982,8.743129
0.4129982,8.743767
0.4139982,8.744401
0.4149982,8.745028
0.4159982,8.745662
0.4169982,8.746306
0.4179982,8.74696
0.4189982,8.747622
0.4199981,8.74819
0.4209981,8.748746
0.4219981,8.7493
0.4229981,8.74987
0.4239981,8.750455
0.4249981,8.751054
0.4259981,8.751666
0.426998,8.752288
0.427998,8.752908
0.428998,8.753525
0.429998,8.754153
0.430998,8.754792
0.431998,8.75544
0.432998,8.756097
0.433998,8.756742
0.4349979,8.75729
0.4359979,8.75784
0.4369979,8.758407
0.4379979,8.758989
0.4389979,8.759586
0.4399979,8.760195
0.4409979,8.760817
0.4419979,8.761438
0.4429978,8.762061
0.4439978,8.762695
0.4449978,8.763338
0.4459978,8.763991
0.4469978,8.764653
0.4479978,8.765309
0.4489978,8.7659
0.4499978,8.766496
0.4509977,8.767105
0.4519977,8.767726
0.4529977,8.768359
0.4539977,8.769002
0.4549977,8.769653
0.4559977,8.770301
0.4569977,8.770956
0.4579976,8.771619
0.4589976,8.77229
0.4599976,8.772968
0.4609976,8.773653
0.4619976,8.774324
0.4629976,8.774896
0.4639976,8.775482
0.4649976,8.776082
0.4659975,8.776695
0.4669975,8.77732
0.4679975,8.777956
0.4689975,8.778602
0.4699975,8.77925
0.4709975,8.779906
0.4719975,8.78057
0.4729975,8.781243
0.4739974,8.781923
0.4749974,8.78261
0.4759974,8.783283
0.4769974,8.783863
0.4779974,8.784458
0.4789974,8.785066
0.4799974,8.785687
0.4809974,8.786319
0.4819973,8.786962
0.4829973,8.787615
0.4839973,8.788275
0.4849973,8.788943
0.4859973,8.789619
0.4869973,8.790302
0.4879973,8.790991
0.4889973,8.791688
0.4899972,8.79239
0.4909972,8.793064
0.4919972,8.793739
0.4929972,8.794421
0.4939972,8.79511
0.4949972,8.795806
0.4959972,8.796507
0.4969971,8.797214
0.4979971,8.797926
0.4989971,8.798642
0.4999971,8.799363
0.5009971,8.800088
0.5019971,8.800816
0.5029971,8.801547
0.5039971,8.802282
0.5049971,8.80302
0.5059971,8.80376
0.506997,8.804503
0.507997,8.805248
0.508997,8.805995
0.509997,8.806744
0.510997,8.807495
0.511997,8.808247
0.512997,8.809001
0.513997,8.809757
0.5149969,8.810514
0.5159969,8.811272
0.5169969,8.812031
0.5179969,8.812792
0.5189969,8.813554
0.5199969,8.814316
0.5209969,8.815079
0.5219969,8.815844
0.5229968,8.816609
0.5239968,8.817375
0.5249968,8.818142
0.5259968,8.818909
0.5269968,8.819677
0.5279968,8.820446
0.5289968,8.821215
0.5299968,8.821984
0.5309967,8.822754
0.5319967,8.823525
0.5329967,8.824296
0.5339967,8.825068
0.5349967,8.82584
0.5359967,8.826612
0.5369967,8.827385
0.5379966,8.828158
0.5389966,8.828931
0.5399966,8.829705
0.5409966,8.830479
0.5419966,8.831253
0.5429966,8.832028
0.5439966,8.832803
0.5449966,8.833578
0.5459965,8.834353
0.5469965,8.835129
0.5479965,8.835905
0.5489965,8.836681
0.5499965,8.837457
0.5509965,8.838234
0.5519965,8.839011
0.5529965,8.839788
0.5539964,8.840565
0.5549964,8.841342
0.5559964,8.84212
0.5569964,8.842898
0.5579964,8.843676
0.5589964,8.844454
0.5599964,8.845232
0.5609964,8.846011
0.5619963,8.84679
0.5629963,8.847569
0.5639963,8.848348
0.5649963,8.849128
0.5659963,8.849908
0.5669963,8.850688
0.5679963,8.851468
0.5689963,8.852248
0.5699962,8.853029
0.5709962,8.853809
0.5719962,8.85459
0.5729962,8.85537
0.5739962,8.856151
0.5749962,8.856932
0.5759962,8.857714
0.5769961,8.858496
0.5779961,8.859277
0.5789961,8.860059
0.5799961,8.860841
0.5809961,8.861623
0.5819961,8.862406
0.5829961,8.863188
0.5839961,8.863971
0.584996,8.864754
0.585996,8.865537
0.586996,8.86632
0.587996,8.867103
0.588996,8.867887
0.589996,8.868671
0.590996,8.869455
0.591996,8.870239
0.5929959,8.871023
0.5939959,8.871807
0.5949959,8.872592
0.5959959,8.873377
0.5969959,8.874161
0.5979959,8.874946
0.5989959,8.875731
0.5999959,8.876516
0.6009958,8.877302
0.6019958,8.878088
0.6029958,8.878874
0.6039958,8.87966
0.6049958,8.880446
0.6059958,8.881232
0.6069958,8.882018
0.6079957,8.882804
0.6089957,8.883591
0.6099957,8.884378
0.6109957,8.885164
0.6119957,8.885951
0.6129957,8.886739
0.6139957,8.887527
0.6149957,8.888315
0.6159956,8.889102
0.6169956,8.88989
0.6179956,8.890678
0.6189956,8.891467
0.6199956,8.892255
0.6209956,8.893043
0.6219956,8.893831
0.6229956,8.89462
0.6239955,8.895409
0.6249955,8.896199
0.6259955,8.896988
0.6269955,8.897777
0.6279955,8.898567
0.6289955,8.899357
0.6299955,8.900147
0.6309955,8.900938
0.6319954,8.901728
0.6329954,8.902518
0.6339954,8.903308
0.6349954,8.904099
0.6359954,8.90489
0.6369954,8.905681
0.6379954,8.906472
0.6389953,8.907264
0.6399953,8.908056
0.6409953,8.908847
0.6419953,8.909638
0.6429953,8.91043
0.6439953,8.911222
0.6449953,8.912014
0.6459953,8.912806
0.6469952,8.913599
0.6479952,8.914392
0.6489952,8.915185
0.6499952,8.915978
0.6509952,8.916771
0.6519952,8.917564
0.6529952,8.918358
0.6539952,8.919152
0.6549951,8.919946
0.6559951,8.92074
0.6569951,8.921534
0.6579951,8.922328
0.6589951,8.923122
0.6599951,8.923917
0.6609951,8.924712
0.6619951,8.925507
0.662995,8.926302
0.663995,8.927097
0.664995,8.927892
0.665995,8.928687
0.666995,8.929483
0.667995,8.930279
0.668995,8.931075
0.669995,8.931871
0.6709949,8.932667
0.6719949,8.933463
0.6729949,8.934259
0.6739949,8.935055
0.6749949,8.935851
0.6759949,8.936648
0.6769949,8.937444
0.6779948,8.93824
0.6789948,8.939038
0.6799948,8.939836
0.6809948,8.940634
0.6819948,8.941432
0.6829948,8.94223
0.6839948,8.943028
0.6849948,8.943826
0.6859947,8.944624
0.6869947,8.945422
0.6879947,8.946221
0.6889947,8.94702
0.6899947,8.947819
0.6909947,8.948618
0.6919947,8.949417
0.6929947,8.950216
0.6939946,8.951015
0.6949946,8.951815
0.6959946,8.952615
0.6969946,8.953415
0.6979946,8.954215
0.6989946,8.955015
0.6999946,8.955815
0.7009946,8.956616
0.7019945,8.957417
0.7029945,8.958217
0.7039945,8.959017
0.7049945,8.959818
0.7059945,8.960619
0.7069945,8.96142
0.7079945,8.962221
0.7089944,8.963022
0.7099944,8.963824
0.7109944,8.964626
0.7119944,8.965428
0.7129944,8.96623
0.7139944,8.967033
0.7149944,8.967836
0.7159944,8.968638
0.7169943,8.96944
0.7179943,8.970243
0.7189943,8.971046
0.7199943,8.971849
0.7209943,8.972652
0.7219943,8.973456
0.7229943,8.97426
0.7239943,8.975064
0.7249942,8.975868
0.7259942,8.976672
0.7269942,8.977476
0.7279942,8.97828
0.7289942,8.979084
