time,p
0.2939998,8.782948
0.2949997,8.783704
0.2959997,8.78446
0.2969997,8.785217
0.2979997,8.785974
0.2989997,8.78673
0.2999997,8.787487
0.3009997,8.788244
0.3019997,8.789001
0.3029996,8.789758
0.3039996,8.790516
0.3049996,8.791274
0.3059996,8.792032
0.3069996,8.79279
0.3079996,8.793549
0.3089996,8.794308
0.3099996,8.795067
0.3109995,8.795827
0.3119995,8.796586
0.3129995,8.797345
0.3139995,8.798105
0.3149995,8.798865
0.3159995,8.799625
0.3169995,8.800386
0.3179995,8.801146
0.3189994,8.801907
0.3199994,8.802668
0.3209994,8.803429
0.3219994,8.804191
0.3229994,8.804952
0.3239994,8.805714
0.3249994,8.806476
0.3259993,8.807239
0.3269993,8.808001
0.3279993,8.808764
0.3289993,8.809527
0.3299993,8.81029
0.3309993,8.811054
0.3319993,8.811817
0.3329993,8.812581
0.3339992,8.813345
0.3349992,8.814109
0.3359992,8.814873
0.3369992,8.815638
0.3379992,8.816403
0.3389992,8.817168
0.3399992,8.817933
0.3409992,8.818699
0.3419991,8.819464
0.3429991,8.82023
0.3439991,8.820996
0.3449991,8.821762
0.3459991,8.822529
0.3469991,8.823295
0.3479991,8.824062
0.3489991,8.824829
0.349999,8.825596
0.350999,8.826363
0.351999,8.827131
0.352999,8.827899
0.353999,8.828666
0.354999,8.829434
0.355999,8.830202
0.356999,8.83097
0.3579989,8.831739
0.3589989,8.832508
0.3599989,8.833277
0.3609989,8.834046
0.3619989,8.834816
0.3629989,8.835585
0.3639989,8.836355
0.3649988,8.837125
0.3659988,8.837895
0.3669988,8.838665
0.3679988,8.839436
0.3689988,8.840207
0.3699988,8.840978
0.3709988,8.841749
0.3719988,8.842521
0.3729987,8.843293
0.3739987,8.844065
0.3749987,8.844837
0.3759987,8.845609
0.3769987,8.846382
0.3779987,8.847154
0.3789987,8.847927
0.3799987,8.8487
0.3809986,8.849473
0.3819986,8.850247
0.3829986,8.85102
0.3839986,8.851794
0.3849986,8.852568
0.3859986,8.853342
0.3869986,8.854117
0.3879986,8.854891
0.3889985,8.855665
0.3899985,8.856439
0.3909985,8.857214
